               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.041307,            0.031442,            0.013059,             0.54507,             0.51271,             0.49183,             0.28778,            0.048658,            0.032972,            0.024769,            0.006634,            0.006634,            0.006634
                  53,            0.041142,            0.031289,            0.013309,             0.76521,             0.40281,             0.49044,             0.29769,            0.047758,            0.031492,            0.022781,            0.006568,            0.006568,            0.006568
                  54,            0.040889,            0.031468,            0.013107,             0.58954,             0.53133,             0.51721,             0.30353,            0.048199,            0.030933,              0.0231,            0.006502,            0.006502,            0.006502
                  55,            0.040769,             0.03093,            0.013291,              0.6181,             0.47112,             0.49393,             0.29854,            0.047853,            0.032648,             0.02325,            0.006436,            0.006436,            0.006436
                  56,            0.039541,            0.029693,            0.012828,             0.62931,             0.46137,             0.49021,             0.26793,            0.047607,            0.032365,            0.022493,             0.00637,             0.00637,             0.00637
                  57,            0.040433,            0.030405,            0.012923,             0.67057,              0.4642,             0.47988,             0.28626,            0.047775,            0.032495,             0.02297,            0.006304,            0.006304,            0.006304
                  58,            0.040382,            0.030971,             0.01277,             0.77522,             0.44581,             0.49977,             0.29207,            0.048372,            0.032194,            0.024326,            0.006238,            0.006238,            0.006238
                  59,            0.039235,            0.030504,            0.012592,             0.72429,             0.48579,             0.49782,             0.29654,            0.048254,            0.031004,            0.023484,            0.006172,            0.006172,            0.006172
                  60,            0.040076,            0.029744,            0.012418,             0.69748,             0.47377,             0.51483,             0.30133,             0.04885,             0.03236,            0.023088,            0.006106,            0.006106,            0.006106
                  61,            0.039458,            0.030978,            0.012645,             0.69721,             0.45561,             0.49878,             0.29509,            0.049157,            0.033531,            0.024268,             0.00604,             0.00604,             0.00604
                  62,            0.039913,            0.031211,            0.012077,             0.73615,             0.45847,             0.50979,             0.29296,            0.047365,            0.032281,            0.022637,            0.005974,            0.005974,            0.005974
                  63,            0.039149,            0.030253,            0.012026,             0.80329,             0.44167,             0.51374,             0.31233,            0.047934,            0.031686,             0.02269,            0.005908,            0.005908,            0.005908
                  64,            0.039739,             0.03064,            0.012448,              0.8007,             0.44489,             0.50346,             0.30729,             0.04606,            0.030046,            0.021598,            0.005842,            0.005842,            0.005842
                  65,             0.03904,            0.029979,            0.011903,             0.77962,             0.43211,              0.4911,             0.30192,            0.047811,            0.032388,            0.024071,            0.005776,            0.005776,            0.005776
                  66,            0.038586,            0.030153,            0.011726,             0.80353,             0.43797,             0.50693,             0.30467,            0.047189,            0.031658,             0.02226,             0.00571,             0.00571,             0.00571
                  67,             0.03856,            0.029704,              0.0121,             0.80921,             0.44847,             0.50842,             0.31783,            0.047587,             0.03113,            0.023306,            0.005644,            0.005644,            0.005644
                  68,             0.03802,            0.029436,            0.011984,             0.79898,              0.4363,             0.51015,             0.31429,            0.047686,            0.033233,            0.023882,            0.005578,            0.005578,            0.005578
                  69,            0.038825,            0.030548,            0.012562,             0.82948,             0.42694,             0.51492,             0.29997,            0.047419,            0.032301,            0.022807,            0.005512,            0.005512,            0.005512
                  70,            0.038111,            0.029856,            0.012448,             0.79029,             0.41818,             0.50166,             0.31337,            0.047332,             0.03037,            0.022883,            0.005446,            0.005446,            0.005446
                  71,            0.037875,            0.030426,            0.011297,             0.77711,             0.41117,             0.49424,             0.30489,            0.047138,            0.033981,              0.0244,             0.00538,             0.00538,             0.00538
                  72,            0.038915,            0.030329,            0.011842,             0.76871,             0.43396,             0.50334,             0.30526,            0.047159,             0.03274,            0.022922,            0.005314,            0.005314,            0.005314
